country_name,country_code,indicator_code,value,year,region,income_group
Aruba,ABW,SE.PRM.ENRR,105.22,2011,Latin America & Caribbean,High income
Aruba,ABW,SE.PRM.ENRR,110.8,2000,Latin America & Caribbean,High income
Aruba,ABW,SE.PRM.ENRR,111.0,2002,Latin America & Caribbean,High income
Aruba,ABW,SE.PRM.ENRR,115.22,2007,Latin America & Caribbean,High income
Aruba,ABW,SE.SEC.ENRR,97.25,2004,Latin America & Caribbean,High income
Aruba,ABW,SE.SEC.ENRR,94.65,2008,Latin America & Caribbean,High income
Aruba,ABW,SE.SEC.ENRR,98.8,1999,Latin America & Caribbean,High income
Aruba,ABW,SE.TER.ENRR,30.9,2006,Latin America & Caribbean,High income
Aruba,ABW,SE.TER.ENRR,38.74,2011,Latin America & Caribbean,High income
Aruba,ABW,SE.TER.ENRR,16.41,2014,Latin America & Caribbean,High income
Aruba,ABW,SE.TER.ENRR,26.76,2003,Latin America & Caribbean,High income
Aruba,ABW,SE.XPD.TOTL.GD.ZS,6.81,2013,Latin America & Caribbean,High income
Afghanistan,AFG,SE.PRM.ENRR,28.68,1991,South Asia,Low income
Afghanistan,AFG,SE.PRM.ENRR,106.45,2008,South Asia,Low income
Afghanistan,AFG,SE.PRM.ENRR,104.17,2005,South Asia,Low income
Afghanistan,AFG,SE.PRM.ENRR,111.26,2004,South Asia,Low income
Afghanistan,AFG,SE.PRM.ENRR,31.18,1989,South Asia,Low income
Afghanistan,AFG,SE.SEC.ENRR,18.66,2004,South Asia,Low income
Afghanistan,AFG,SE.SEC.ENRR,16.31,1991,South Asia,Low income
Afghanistan,AFG,SE.SEC.ENRR,13.46,1985,South Asia,Low income
Afghanistan,AFG,SE.SEC.ENRR,40.22,2008,South Asia,Low income
Afghanistan,AFG,SE.SEC.ENRR,16.53,1993,South Asia,Low income
Afghanistan,AFG,SE.SEC.ENRR,13.45,1978,South Asia,Low income
Afghanistan,AFG,SE.TER.ENRR,1.26,2004,South Asia,Low income
Afghanistan,AFG,SE.TER.ENRR,8.66,2014,South Asia,Low income
Afghanistan,AFG,SE.ADT.LITR.ZS,31.74,2011,South Asia,Low income
Afghanistan,AFG,SE.XPD.TOTL.GD.ZS,1.9,1981,South Asia,Low income
Afghanistan,AFG,SE.XPD.TOTL.GD.ZS,3.48,2013,South Asia,Low income
Angola,AGO,SE.PRM.ENRR,72.11,1974,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.PRM.ENRR,71.93,1991,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.PRM.ENRR,81.67,1987,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.PRM.ENRR,82.01,1989,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.SEC.ENRR,11.0,1991,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.SEC.ENRR,12.43,1992,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.SEC.ENRR,10.05,1983,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.SEC.ENRR,10.08,1988,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.SEC.ENRR,23.55,2008,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.TER.ENRR,0.57,1990,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.ADT.LITR.ZS,66.03,2014,Sub-Saharan Africa,Lower middle income
Angola,AGO,SE.XPD.TOTL.GD.ZS,4.62,1985,Sub-Saharan Africa,Lower middle income
